date,coin_directory,series,market_ticker,strike_type,floor_strike,cap_strike,round_digits,yes_sub_title,event_type,recv_ts_utc
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221415-15,greater_or_equal,64546.3,,2,"Target Price: $64,546.30",metadata_updated,2026-06-22T18:00:00.739+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221415-15,greater_or_equal,594.9,,2,Target Price: $594.90,metadata_updated,2026-06-22T18:00:03.405+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221430-30,greater_or_equal,64611.19,,2,"Target Price: $64,611.19",metadata_updated,2026-06-22T18:15:00.567+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221430-30,greater_or_equal,596.17,,2,Target Price: $596.17,metadata_updated,2026-06-22T18:15:02.731+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221445-45,greater_or_equal,64523.57,,2,"Target Price: $64,523.57",metadata_updated,2026-06-22T18:30:00.637+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221445-45,greater_or_equal,595.71,,2,Target Price: $595.71,metadata_updated,2026-06-22T18:30:03.176+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221500-00,greater_or_equal,64455.01,,2,"Target Price: $64,455.01",metadata_updated,2026-06-22T18:45:00.535+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221500-00,greater_or_equal,595.25,,2,Target Price: $595.25,metadata_updated,2026-06-22T18:45:02.803+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221515-15,greater_or_equal,64292.71,,2,"Target Price: $64,292.71",metadata_updated,2026-06-22T19:00:01.074+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221515-15,greater_or_equal,592.91,,2,Target Price: $592.91,metadata_updated,2026-06-22T19:00:03.824+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221545-45,greater_or_equal,64291.02,,2,"Target Price: $64,291.02",metadata_updated,2026-06-22T19:30:00.638+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221545-45,greater_or_equal,590.8,,2,Target Price: $590.80,metadata_updated,2026-06-22T19:30:03.033+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221600-00,greater_or_equal,64336.43,,2,"Target Price: $64,336.43",metadata_updated,2026-06-22T19:45:00.551+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221600-00,greater_or_equal,591.37,,2,Target Price: $591.37,metadata_updated,2026-06-22T19:45:02.800+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P55,custom,10,100,,,metadata_updated,2026-06-22T19:49:21.069+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P55,greater_or_equal,10,,,,metadata_updated,2026-06-22T19:50:54.202+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P57,greater_or_equal,15,,,,metadata_updated,2026-06-22T19:51:05.145+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P60,greater_or_equal,20,,,,metadata_updated,2026-06-22T19:51:15.893+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P62,greater_or_equal,25,,,,metadata_updated,2026-06-22T19:51:18.631+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P65,greater_or_equal,30,,,,metadata_updated,2026-06-22T19:51:23.530+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P67,greater_or_equal,35,,,,metadata_updated,2026-06-22T19:51:31.489+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P70,greater_or_equal,40,,,,metadata_updated,2026-06-22T19:51:34.177+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P72,greater_or_equal,45,,,,metadata_updated,2026-06-22T19:51:37.873+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-GOVAZNOMR26-ABIG-P75,greater_or_equal,50,,,,metadata_updated,2026-06-22T19:51:44.709+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P51,greater_or_equal,3,,,,metadata_updated,2026-06-22T19:59:26.930+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P53,greater_or_equal,6,,,,metadata_updated,2026-06-22T19:59:31.458+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P54,greater_or_equal,9,,,,metadata_updated,2026-06-22T19:59:35.875+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P56,greater_or_equal,12,,,,metadata_updated,2026-06-22T19:59:38.979+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P57,greater_or_equal,15,,,,metadata_updated,2026-06-22T19:59:42.769+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P59,greater_or_equal,18,,,,metadata_updated,2026-06-22T19:59:46.531+00:00
2026-06-22,BTC,KXPRIMARYMOV,KXPRIMARYMOV-MDPRIMARY05D26-ABOA-P60,greater_or_equal,21,,,,metadata_updated,2026-06-22T19:59:50.090+00:00
2026-06-22,BTC,KXBTC15M,KXBTC15M-26JUN221615-15,greater_or_equal,64417.2,,2,"Target Price: $64,417.20",metadata_updated,2026-06-22T20:00:00.672+00:00
2026-06-22,BTC,KXBNB15M,KXBNB15M-26JUN221615-15,greater_or_equal,591.6,,2,Target Price: $591.60,metadata_updated,2026-06-22T20:00:03.600+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221415-15,greater_or_equal,1739.53,,2,"Target Price: $1,739.53",metadata_updated,2026-06-22T18:00:01.442+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221430-30,greater_or_equal,1744.04,,2,"Target Price: $1,744.04",metadata_updated,2026-06-22T18:15:01.077+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221445-45,greater_or_equal,1740.06,,2,"Target Price: $1,740.06",metadata_updated,2026-06-22T18:30:01.229+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221500-00,greater_or_equal,1738.66,,2,"Target Price: $1,738.66",metadata_updated,2026-06-22T18:45:01.026+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221515-15,greater_or_equal,1732.44,,2,"Target Price: $1,732.44",metadata_updated,2026-06-22T19:00:01.992+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221545-45,greater_or_equal,1730.27,,2,"Target Price: $1,730.27",metadata_updated,2026-06-22T19:30:01.158+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221600-00,greater_or_equal,1732.06,,2,"Target Price: $1,732.06",metadata_updated,2026-06-22T19:45:01.047+00:00
2026-06-22,ETH,KXETH15M,KXETH15M-26JUN221615-15,greater_or_equal,1732.92,,2,"Target Price: $1,732.92",metadata_updated,2026-06-22T20:00:01.457+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221415-15,greater_or_equal,73.2132,,4,Target Price: $73.2132,metadata_updated,2026-06-22T18:00:02.177+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221430-30,greater_or_equal,73.4215,,4,Target Price: $73.4215,metadata_updated,2026-06-22T18:15:01.617+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221445-45,greater_or_equal,73.2783,,4,Target Price: $73.2783,metadata_updated,2026-06-22T18:30:01.808+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221500-00,greater_or_equal,73.2273,,4,Target Price: $73.2273,metadata_updated,2026-06-22T18:45:01.569+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221515-15,greater_or_equal,72.6525,,4,Target Price: $72.6525,metadata_updated,2026-06-22T19:00:02.640+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221545-45,greater_or_equal,72.5703,,4,Target Price: $72.5703,metadata_updated,2026-06-22T19:30:01.685+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221600-00,greater_or_equal,72.6595,,4,Target Price: $72.6595,metadata_updated,2026-06-22T19:45:01.578+00:00
2026-06-22,SOL,KXSOL15M,KXSOL15M-26JUN221615-15,greater_or_equal,72.6798,,4,Target Price: $72.6798,metadata_updated,2026-06-22T20:00:02.406+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221415-15,greater_or_equal,1.1386,,4,Target Price: $1.1386,metadata_updated,2026-06-22T18:00:02.711+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221430-30,greater_or_equal,1.1413,,4,Target Price: $1.1413,metadata_updated,2026-06-22T18:15:02.113+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221445-45,greater_or_equal,1.1401,,4,Target Price: $1.1401,metadata_updated,2026-06-22T18:30:02.544+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221500-00,greater_or_equal,1.1384,,4,Target Price: $1.1384,metadata_updated,2026-06-22T18:45:02.096+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221515-15,greater_or_equal,1.1326,,4,Target Price: $1.1326,metadata_updated,2026-06-22T19:00:03.135+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221545-45,greater_or_equal,1.1307,,4,Target Price: $1.1307,metadata_updated,2026-06-22T19:30:02.410+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221600-00,greater_or_equal,1.1319,,4,Target Price: $1.1319,metadata_updated,2026-06-22T19:45:02.077+00:00
2026-06-22,XRP,KXXRP15M,KXXRP15M-26JUN221615-15,greater_or_equal,1.1331,,4,Target Price: $1.1331,metadata_updated,2026-06-22T20:00:02.949+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221415-15,greater_or_equal,0.08324,,7,Target Price: $0.0832404,metadata_updated,2026-06-22T18:00:03.920+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221430-30,greater_or_equal,0.083298,,7,Target Price: $0.0832982,metadata_updated,2026-06-22T18:15:03.239+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221445-45,greater_or_equal,0.083098,,7,Target Price: $0.0830980,metadata_updated,2026-06-22T18:30:03.766+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221500-00,greater_or_equal,0.083098,,7,Target Price: $0.0830989,metadata_updated,2026-06-22T18:45:03.344+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221515-15,greater_or_equal,0.082846,,7,Target Price: $0.0828460,metadata_updated,2026-06-22T19:00:04.366+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221545-45,greater_or_equal,0.082685,,7,Target Price: $0.0826856,metadata_updated,2026-06-22T19:30:03.552+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221600-00,greater_or_equal,0.082614,,7,Target Price: $0.0826146,metadata_updated,2026-06-22T19:45:03.327+00:00
2026-06-22,DOGE,KXDOGE15M,KXDOGE15M-26JUN221615-15,greater_or_equal,0.082718,,7,Target Price: $0.0827181,metadata_updated,2026-06-22T20:00:04.216+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221415-15,greater_or_equal,67.9932,,4,Target Price: $67.9932,metadata_updated,2026-06-22T18:00:04.659+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221430-30,greater_or_equal,68.9001,,4,Target Price: $68.9001,metadata_updated,2026-06-22T18:15:03.886+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221445-45,greater_or_equal,68.9382,,4,Target Price: $68.9382,metadata_updated,2026-06-22T18:30:04.427+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221500-00,greater_or_equal,68.7057,,4,Target Price: $68.7057,metadata_updated,2026-06-22T18:45:04.003+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221515-15,greater_or_equal,68.0033,,4,Target Price: $68.0033,metadata_updated,2026-06-22T19:00:05.011+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221545-45,greater_or_equal,67.4048,,4,Target Price: $67.4048,metadata_updated,2026-06-22T19:30:04.342+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221600-00,greater_or_equal,67.4384,,4,Target Price: $67.4384,metadata_updated,2026-06-22T19:45:04.023+00:00
2026-06-22,HYPE,KXHYPE15M,KXHYPE15M-26JUN221615-15,greater_or_equal,67.4106,,4,Target Price: $67.4106,metadata_updated,2026-06-22T20:00:05.545+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271000-00,greater_or_equal,60501.98,,2,"Target Price: $60,501.98",metadata_updated,2026-06-27T13:45:00.509+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271000-00,greater_or_equal,564.33,,2,Target Price: $564.33,metadata_updated,2026-06-27T13:45:02.498+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271015-15,greater_or_equal,60486.59,,2,"Target Price: $60,486.59",metadata_updated,2026-06-27T14:00:00.826+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271015-15,greater_or_equal,563.62,,2,Target Price: $563.62,metadata_updated,2026-06-27T14:00:03.178+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271030-30,greater_or_equal,60598.46,,2,"Target Price: $60,598.46",metadata_updated,2026-06-27T14:15:00.519+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271030-30,greater_or_equal,564.44,,2,Target Price: $564.44,metadata_updated,2026-06-27T14:15:02.487+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271045-45,greater_or_equal,60520.4,,2,"Target Price: $60,520.40",metadata_updated,2026-06-27T14:30:00.756+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271045-45,greater_or_equal,563.64,,2,Target Price: $563.64,metadata_updated,2026-06-27T14:30:02.786+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271100-00,greater_or_equal,60547.76,,2,"Target Price: $60,547.76",metadata_updated,2026-06-27T14:45:00.470+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271100-00,greater_or_equal,563.92,,2,Target Price: $563.92,metadata_updated,2026-06-27T14:45:02.457+00:00
2026-06-27,BTC,KXBTC15M,KXBTC15M-26JUN271115-15,greater_or_equal,60519.72,,2,"Target Price: $60,519.72",metadata_updated,2026-06-27T15:00:00.630+00:00
2026-06-27,BTC,KXBNB15M,KXBNB15M-26JUN271115-15,greater_or_equal,563.87,,2,Target Price: $563.87,metadata_updated,2026-06-27T15:00:03.208+00:00
